id;titolo;genere;regista;anno;durata;etaMinima;dataOra;costo
P1;A Beautiful Mind;Biography;Ron Howard;2001;135;12;30/12/2027 10:30;8,50
P2;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;29/12/2027 16:00;8,50
P3;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;29/12/2027 12:30;8,50
P4;To Have and Have Not;Adventure;Howard Hawks;1944;100;6;29/12/2027 10:00;8,00
P5;Blue Velvet;Drama;David Lynch;1986;120;12;28/12/2027 15:30;7,50
P6;The Philadelphia Story;Comedy;George Cukor;1940;112;12;28/12/2027 13:00;8,50
P7;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;28/12/2027 10:00;6,50
P8;The Blues Brothers;Action;John Landis;1980;133;0;27/12/2027 14:00;8,50
P9;The Bridge on the River Kwai;Adventure;David Lean;1957;161;6;27/12/2027 10:30;7,50
P10;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;26/12/2027 19:30;10,00
P11;The Bridge on the River Kwai;Adventure;David Lean;1957;161;6;26/12/2027 16:00;8,50
P12;Good Will Hunting;Drama;Gus Van Sant;1997;126;0;26/12/2027 13:00;8,50
P13;Blue Velvet;Drama;David Lynch;1986;120;12;26/12/2027 10:00;7,50
P14;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;25/12/2027 22:00;10,00
P15;Gandhi;Biography;Richard Attenborough;1982;191;0;25/12/2027 18:00;9,00
P16;The Lord of the Rings: The Fellowship of the Ring;Action;Peter Jackson;2001;178;0;25/12/2027 14:30;7,00
P17;The Lord of the Rings: The Fellowship of the Ring;Action;Peter Jackson;2001;178;0;25/12/2027 10:30;8,00
P18;Misery;Drama;Rob Reiner;1990;107;16;24/12/2027 13:30;8,00
P19;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;24/12/2027 10:30;8,50
P20;The Hurricane;Biography;Norman Jewison;1999;146;16;23/12/2027 10:00;8,50
P21;C.R.A.Z.Y.;Comedy;Jean-Marc Vallée;2005;129;12;22/12/2027 17:00;8,00
P22;Misery;Drama;Rob Reiner;1990;107;16;22/12/2027 14:30;7,50
P23;Veer-Zaara;Drama;Yash Chopra;2004;192;0;22/12/2027 10:30;7,50
P24;Primal Fear;Crime;Gregory Hoblit;1996;129;12;21/12/2027 16:00;7,00
P25;The Blues Brothers;Action;John Landis;1980;133;0;21/12/2027 13:00;8,00
P26;Blue Velvet;Drama;David Lynch;1986;120;12;21/12/2027 10:00;7,50
P27;Donnie Darko;Drama;Richard Kelly;2001;113;16;20/12/2027 13:30;7,00
P28;Star Trek II: The Wrath of Khan;Action;Nicholas Meyer;1982;113;0;20/12/2027 10:30;8,00
P29;The Silence of the Lambs;Crime;Jonathan Demme;1991;118;12;19/12/2027 16:00;7,50
P30;Philadelphia;Drama;Jonathan Demme;1993;125;12;19/12/2027 13:00;8,50
P31;Primal Fear;Crime;Gregory Hoblit;1996;129;12;19/12/2027 10:00;8,00
P32;The Maltese Falcon;Film-Noir;John Huston;1941;100;12;18/12/2027 16:30;8,00
P33;The Blues Brothers;Action;John Landis;1980;133;0;18/12/2027 13:30;8,00
P34;C.R.A.Z.Y.;Comedy;Jean-Marc Vallée;2005;129;12;18/12/2027 10:30;6,50
P35;Primal Fear;Crime;Gregory Hoblit;1996;129;12;17/12/2027 10:00;7,50
P36;Cape Fear;Drama;J. Lee Thompson;1962;106;12;16/12/2027 15:00;8,00
P37;Shichinin no samurai;Action;Akira Kurosawa;1954;207;0;16/12/2027 10:30;6,50
P38;American Psycho;Comedy;Mary Harron;2000;101;12;15/12/2027 16:00;8,00
P39;The Others;Horror;Alejandro Amenábar;2001;101;12;15/12/2027 13:30;8,00
P40;Blue Velvet;Drama;David Lynch;1986;120;12;15/12/2027 10:30;7,50
P41;Fight Club;Drama;David Fincher;1999;139;12;14/12/2027 10:30;6,50
P42;American Psycho;Comedy;Mary Harron;2000;101;12;13/12/2027 15:30;6,50
P43;The Treasure of the Sierra Madre;Adventure;John Huston;1948;126;12;13/12/2027 12:30;8,00
P44;Kurenai no buta;Animation;Hayao Miyazaki;1992;94;0;13/12/2027 10:00;7,00
P45;Shichinin no samurai;Action;Akira Kurosawa;1954;207;0;12/12/2027 18:00;8,50
P46;To Have and Have Not;Adventure;Howard Hawks;1944;100;6;12/12/2027 15:30;8,00
P47;Withnail & I;Comedy;Bruce Robinson;1987;107;16;12/12/2027 13:00;6,50
P48;The Maltese Falcon;Film-Noir;John Huston;1941;100;12;12/12/2027 10:30;8,00
P49;Fight Club;Drama;David Fincher;1999;139;12;11/12/2027 19:00;10,00
P50;Reservoir Dogs;Crime;Quentin Tarantino;1992;99;16;11/12/2027 16:30;8,50
P51;Shichinin no samurai;Action;Akira Kurosawa;1954;207;0;11/12/2027 12:30;8,50
P52;Eastern Promises;Action;David Cronenberg;2007;100;16;11/12/2027 10:00;6,50
P53;To Have and Have Not;Adventure;Howard Hawks;1944;100;6;10/12/2027 13:00;6,50
P54;Cape Fear;Drama;J. Lee Thompson;1962;106;12;10/12/2027 10:30;7,00
P55;Star Trek II: The Wrath of Khan;Action;Nicholas Meyer;1982;113;0;09/12/2027 10:00;8,00
P56;Blue Velvet;Drama;David Lynch;1986;120;12;08/12/2027 10:00;6,50
P57;Lat sau san taam;Action;John Woo;1992;128;16;07/12/2027 15:00;7,00
P58;Eastern Promises;Action;David Cronenberg;2007;100;16;07/12/2027 12:30;6,50
P59;Withnail & I;Comedy;Bruce Robinson;1987;107;16;07/12/2027 10:00;6,50
P60;American Psycho;Comedy;Mary Harron;2000;101;12;06/12/2027 15:00;8,00
P61;The Maltese Falcon;Film-Noir;John Huston;1941;100;12;06/12/2027 12:30;8,50
P62;Eastern Promises;Action;David Cronenberg;2007;100;16;06/12/2027 10:00;7,00
P63;American Psycho;Comedy;Mary Harron;2000;101;12;05/12/2027 20:00;8,50
P64;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;05/12/2027 17:30;8,50
P65;Giant;Drama;George Stevens;1956;201;0;05/12/2027 13:00;8,50
P66;Mississippi Burning;Crime;Alan Parker;1988;128;12;05/12/2027 10:00;8,00
P67;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;04/12/2027 15:30;6,50
P68;Lat sau san taam;Action;John Woo;1992;128;16;04/12/2027 12:30;8,00
P69;Cape Fear;Drama;J. Lee Thompson;1962;106;12;04/12/2027 10:00;8,00
P70;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;03/12/2027 16:00;8,50
P71;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;03/12/2027 13:30;7,50
P72;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;03/12/2027 10:30;8,50
P73;Giant;Drama;George Stevens;1956;201;0;02/12/2027 10:30;7,50
P74;Blue Velvet;Drama;David Lynch;1986;120;12;01/12/2027 14:00;8,00
P75;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;01/12/2027 10:00;8,00
P76;Kurenai no buta;Animation;Hayao Miyazaki;1992;94;0;30/11/2027 13:30;6,50
P77;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;30/11/2027 10:30;7,50
P78;The Others;Horror;Alejandro Amenábar;2001;101;12;29/11/2027 13:30;7,00
P79;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;29/11/2027 10:00;7,50
P80;Mississippi Burning;Crime;Alan Parker;1988;128;12;28/11/2027 16:00;8,00
P81;The Blues Brothers;Action;John Landis;1980;133;0;28/11/2027 13:00;8,00
P82;Festen;Drama;Thomas Vinterberg;1998;105;16;28/11/2027 10:30;8,00
P83;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;27/11/2027 20:00;10,00
P84;The Blues Brothers;Action;John Landis;1980;133;0;27/11/2027 17:00;7,50
P85;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;27/11/2027 13:30;6,50
P86;The Blues Brothers;Action;John Landis;1980;133;0;27/11/2027 10:30;8,00
P87;It Happened One Night;Comedy;Frank Capra;1934;105;12;26/11/2027 13:30;8,00
P88;Sin City;Crime;Frank Miller;2005;124;12;26/11/2027 10:30;6,50
P89;The Silence of the Lambs;Crime;Jonathan Demme;1991;118;12;25/11/2027 16:00;6,50
P90;Tengoku to jigoku;Crime;Akira Kurosawa;1963;143;12;25/11/2027 12:30;8,00
P91;It Happened One Night;Comedy;Frank Capra;1934;105;12;25/11/2027 10:00;7,00
P92;The Ladykillers;Comedy;Alexander Mackendrick;1955;91;12;24/11/2027 16:00;6,50
P93;Cape Fear;Drama;J. Lee Thompson;1962;106;12;24/11/2027 13:30;7,50
P94;Aliens;Action;James Cameron;1986;137;0;24/11/2027 10:30;8,00
P95;The Others;Horror;Alejandro Amenábar;2001;101;12;23/11/2027 12:30;6,50
P96;Monsters, Inc.;Animation;Pete Docter;2001;92;0;23/11/2027 10:00;6,50
P97;Jûbê ninpûchô;Animation;Yoshiaki Kawajiri;1993;94;12;22/11/2027 10:30;7,50
P98;The Hurricane;Biography;Norman Jewison;1999;146;16;21/11/2027 16:00;8,00
P99;Platoon;Drama;Oliver Stone;1986;120;12;21/11/2027 13:00;8,50
P100;Cool Hand Luke;Crime;Stuart Rosenberg;1967;127;12;21/11/2027 10:00;7,00
P101;Aliens;Action;James Cameron;1986;137;0;20/11/2027 20:30;9,00
P102;Jules et Jim;Drama;François Truffaut;1962;105;12;20/11/2027 18:00;10,00
P103;Close Encounters of the Third Kind;Drama;Steven Spielberg;1977;138;0;20/11/2027 14:30;8,50
P104;The Best Years of Our Lives;Drama;William Wyler;1946;170;12;20/11/2027 10:30;7,00
P105;The Hurricane;Biography;Norman Jewison;1999;146;16;19/11/2027 10:00;8,50
P106;Scent of a Woman;Drama;Martin Brest;1992;156;12;18/11/2027 10:00;7,00
P107;Giant;Drama;George Stevens;1956;201;0;17/11/2027 10:30;7,50
P108;The Hurricane;Biography;Norman Jewison;1999;146;16;16/11/2027 16:00;7,00
P109;Butch Cassidy and the Sundance Kid;Biography;George Roy Hill;1969;110;6;16/11/2027 13:00;7,50
P110;The Others;Horror;Alejandro Amenábar;2001;101;12;16/11/2027 10:30;8,00
P111;Monsters, Inc.;Animation;Pete Docter;2001;92;0;15/11/2027 17:00;8,00
P112;The Long Goodbye;Comedy;Robert Altman;1973;112;12;15/11/2027 14:00;7,00
P113;Fight Club;Drama;David Fincher;1999;139;12;15/11/2027 10:30;8,00
